Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Player-additional
520;Jeenathan Williams;SG;23;POR;5;4;127;24;39;0,427083333;3;8;0,260416667;21;31;0,470138889;0,454166667;2;3;0,463194444;10;5;15;10;3;2;4;13;53;willije02
521;Kenrich Williams;PF;28;OKC;53;10;1206;179;346;0,359027778;50;134;0,259027778;129;212;0,422222222;00.59;17;39;0,302777778;97;164;261;105;45;14;32;112;425;willike04
522;Mark Williams;C;21;CHO;43;17;828;160;251;0,442361111;0;0;;160;251;0,442361111;0,442361111;67;97;0,479861111;93;211;304;18;28;45;40;94;387;willima07
523;Patrick Williams;PF;21;CHI;82;65;2323;314;677;0,322222222;115;277;0,288194444;199;400;0,345833333;0,38125;90;105;0,595138889;78;249;327;100;72;70;101;147;833;willipa01
524;Robert Williams;C;25;BOS;35;20;824;127;170;0,51875;0;1;0;127;169;0,521527778;0,51875;25;41;0,042361111;104;188;292;50;22;48;34;68;279;williro04
525;Vince Williams Jr.;SG;22;MEM;15;1;105;12;40;00.03;4;28;0,099305556;8;12;0,463194444;00.35;2;2;1;4;11;15;4;6;2;5;12;30;willivi01
526;Ziaire Williams;SF;21;MEM;37;4;561;84;196;0,297916667;25;97;0,179166667;59;99;0,413888889;0,341666667;17;22;0,536805556;16;63;79;35;14;6;37;58;210;willizi02
527;Zion Williamson;PF;22;NOP;29;29;956;285;469;0,422222222;7;19;0,255555556;278;450;0,429166667;0,427083333;177;248;0,495833333;58;144;202;133;32;16;99;65;754;willizi01
528;Dylan Windler;SF;26;CLE;3;0;10;2;3;0,463194444;1;2;00.05;1;1;1;0,578472222;0;0;;0;0;0;1;1;0;1;0;5;windldy01
529;Justise Winslow;PF;26;POR;29;11;776;81;198;0,284027778;14;45;0,215972222;67;153;0,304166667;0,308333333;20;28;0,495833333;49;96;145;98;30;11;43;89;196;winslju01
530;James Wiseman;C;21;DET;45;22;867;189;339;0,3875;4;20;00.02;185;319;00.58;0,390972222;68;97;0,486805556;73;194;267;30;7;27;51;108;450;wisemja01
531;Christian Wood;C;27;DAL;67;17;1738;396;769;0,357638889;105;279;0,261111111;291;490;0,4125;0,404861111;217;281;0,536111111;87;404;491;121;30;72;121;169;1114;woodch01
532;Delon Wright;PG;30;WAS;50;14;1221;138;291;0,329166667;41;119;0,239583333;97;172;0,391666667;0,378472222;52;60;0,602083333;58;122;180;194;92;17;44;59;369;wrighde01
533;McKinley Wright IV;PG;24;DAL;27;1;335;46;98;0,325694444;9;28;0,222916667;37;70;0,367361111;0,357638889;13;19;0,475;9;38;47;58;8;5;19;24;114;wrighmc01
534;Gabe York;SG;29;IND;3;0;56;8;21;0,264583333;6;18;0,23125;2;3;0,463194444;0,363888889;2;2;1;0;6;6;5;2;0;0;5;24;yorkga01
535;Thaddeus Young;PF;34;TOR;54;9;795;108;198;0,378472222;6;34;0,122222222;102;164;0,431944444;0,389583333;18;26;0,480555556;71;95;166;75;54;5;42;88;240;youngth01
536;Trae Young;PG;24;ATL;73;73;2541;597;1390;0,297916667;154;460;0,232638889;443;930;0,330555556;0,336805556;566;639;0,615277778;56;161;217;741;80;9;300;104;1914;youngtr01
537;Omer Yurtseven;C;24;MIA;9;0;83;16;27;0,411805556;3;7;0,297916667;13;20;0,045138889;0,45;5;6;0,578472222;8;15;23;2;2;2;4;16;40;yurtsom01
538;Cody Zeller;C;30;MIA;15;2;217;37;59;0,435416667;0;2;0;37;57;0,450694444;0,435416667;24;35;0,476388889;25;39;64;10;3;4;14;33;98;zelleco01
539;Ivica Zubac;C;25;LAC;76;76;2170;326;514;0,440277778;0;2;0;326;512;0,442361111;0,440277778;166;238;0,484027778;236;520;756;77;29;98;117;219;818;zubaciv01
