Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Player-additional
412;Nick Richards;C;25;CHO;65;9;1217;197;313;0,436805556;1;1;1;196;312;0,436111111;0,438194444;137;183;0,520138889;147;269;416;38;11;71;59;154;532;richani01
413;Josh Richardson;SG;29;NOP;65;10;1530;239;554;0,299305556;107;293;0,253472222;132;261;0,351388889;0,366666667;69;81;0,591666667;41;134;175;174;69;20;86;117;654;richajo01
414;Austin Rivers;SG;30;MIN;52;10;1016;91;209;0,302083333;43;123;00.35;48;86;0,3875;0,373611111;30;39;0,534027778;5;78;83;75;28;4;23;80;255;riverau01
415;Duncan Robinson;SF;28;MIA;42;1;691;88;237;0,257638889;63;192;0,227777778;25;45;0,386111111;0,35;29;32;0,629166667;8;61;69;46;14;0;28;77;268;robindu01
416;Mitchell Robinson;C;24;NYK;59;58;1591;188;280;0,465972222;0;0;;188;280;0,465972222;0,465972222;59;122;0,336111111;267;288;555;53;56;109;41;160;435;robinmi01
417;Orlando Robinson;C;22;MIA;31;1;425;47;89;0,366666667;0;6;0;47;83;0,393055556;0,366666667;22;31;0,049305556;48;78;126;25;12;12;16;53;116;robinor01
418;Jeremiah Robinson-Earl;PF;22;OKC;43;20;814;110;248;0,308333333;37;111;0,23125;73;137;0,370138889;0,359722222;35;42;0,578472222;71;109;180;43;24;11;19;71;292;robinje02
419;Isaiah Roby;PF;24;SAS;42;2;474;67;155;0,3;18;60;00.03;49;95;0,358333333;00.49;20;41;0,338888889;21;86;107;38;18;7;31;53;172;robyis01
420;David Roddy;PF;21;MEM;70;4;1258;180;420;0,297916667;65;212;0,213194444;115;208;0,384027778;0,351388889;41;65;0,438194444;50;143;193;59;29;19;57;107;466;roddyda01
421;Ryan Rollins;PG;20;GSW;12;0;62;7;20;00.35;3;9;0,23125;4;11;0,252777778;0,295138889;6;6;1;3;9;12;6;1;1;16;10;23;rolliry01
422;Derrick Rose;PG;34;NYK;27;0;338;61;159;0,266666667;19;63;0,209722222;42;96;0,304166667;0,307638889;11;12;0,636805556;8;32;40;46;7;5;22;18;152;rosede01
423;Terrence Ross;SG;31;PHO;63;9;1330;200;465;00.43;95;258;0,255555556;105;207;0,352083333;0,369444444;27;34;0,551388889;22;132;154;95;35;10;43;97;522;rosste01
424;Terry Rozier;SG;28;CHO;63;63;2221;493;1188;0,288194444;165;505;0,227083333;328;683;00.48;0,336111111;178;220;0,561805556;51;208;259;319;74;16;134;119;1329;roziete01
425;Ricky Rubio;PG;32;CLE;33;2;566;61;178;0,238194444;21;82;0,177777778;40;96;0,289583333;0,279166667;28;35;00.08;9;61;70;115;26;6;31;51;171;rubiori01
426;D'Angelo Russell;PG;26;LAL;71;71;2304;445;948;0,325694444;194;490;0,275;251;458;0,380555556;0,397222222;179;216;0,575694444;35;180;215;437;70;29;186;140;1263;russeda01
427;Matt Ryan;SF;25;MIN;34;0;310;40;108;00.37;32;84;0,264583333;8;24;0,23125;0,360416667;10;12;0,578472222;4;22;26;16;5;1;7;27;122;ryanma01
428;Domantas Sabonis;C;26;SAC;79;79;2736;577;938;0,427083333;31;83;0,259027778;546;855;0,44375;0,438888889;325;438;0,515277778;251;722;973;573;65;39;230;279;1510;sabondo01
429;Luka Å amaniÄ‡;PF;23;UTA;7;4;161;26;57;0,316666667;8;31;0,179166667;18;26;0,480555556;0,365277778;9;13;0,480555556;0;30;30;15;6;2;10;17;69;samanlu01
430;Dario Å ariÄ‡;PF-C;28;OKC;57;12;806;127;277;0,318055556;45;115;0,271527778;82;162;0,351388889;00.54;63;76;0,575694444;53;154;207;74;20;7;55;99;362;saricda01
431;Olivier Sarr;C;23;OKC;9;1;114;15;30;00.05;1;8;0,086805556;14;22;0,441666667;0,359027778;5;7;0,495833333;12;19;31;4;1;5;4;17;36;sarrol01
432;Jordan Schakel;SF;24;WAS;2;0;6;1;2;00.05;1;1;1;0;1;0;0,052083333;0;0;;0;0;0;1;1;0;0;1;3;schakjo01
433;Admiral Schofield;PF;25;ORL;37;0;451;55;122;0,313194444;24;74;0,225;31;48;0,448611111;0,38125;21;23;0,634027778;23;39;62;31;8;5;16;61;155;schofad01
434;Dennis SchrÃ¶der;PG;29;LAL;66;50;1986;270;650;0,288194444;74;225;0,228472222;196;425;0,320138889;0,327777778;216;252;0,595138889;21;144;165;298;50;10;112;145;830;schrode01
435;Jay Scrubb;SG;22;ORL;2;0;30;5;7;0,495833333;2;2;1;3;5;00.06;0,595138889;1;2;00.05;0;6;6;1;2;0;3;2;13;scrubja01
436;Dereon Seabron;SG;22;NOP;5;0;12;2;5;00.04;0;0;;2;5;00.04;00.04;0;0;;1;0;1;0;0;0;0;1;4;seabrde01
437;Alperen _eng�n;C;20;HOU;75;72;2171;442;799;0,384027778;19;57;0,23125;423;742;00.57;0,392361111;206;288;0,496527778;242;436;678;291;70;70;193;258;1109;sengual01
438;Collin Sexton;PG;24;UTA;48;15;1145;237;468;0,351388889;48;122;0,272916667;189;346;0,379166667;0,3875;163;199;0,56875;37;68;105;138;27;6;85;112;685;sextoco01
439;Landry Shamet;SG;25;PHO;40;9;807;113;300;0,261805556;75;199;0,261805556;38;101;0,261111111;0,348611111;45;51;0,6125;11;56;67;93;26;5;36;61;346;shamela01
440;Day'Ron Sharpe;C;21;BRK;48;3;552;93;171;0,377777778;6;11;0,378472222;87;160;0,377777778;0,389583333;35;55;0,441666667;99;101;200;37;15;32;42;89;227;sharpda01
441;Shaedon Sharpe;SG;19;POR;80;15;1779;306;648;0,327777778;102;283;00.36;204;365;0,388194444;0,382638889;75;105;0,495833333;63;173;236;94;38;24;83;136;789;sharpsh01
442;Pascal Siakam;PF;28;TOR;71;71;2652;630;1313;00.48;93;287;0,225;537;1026;0,363194444;0,357638889;367;474;0,5375;131;425;556;415;65;36;169;228;1720;siakapa01
443;Chris Silva;PF;26;DAL;1;0;3;1;1;1;0;0;;1;1;1;1;0;0;;0;0;0;0;0;0;1;2;2;silvach01
444;Ben Simmons;PG;26;BRK;42;33;1105;133;235;0,393055556;0;2;0;133;233;0,396527778;0,393055556;25;57;0,304861111;40;223;263;256;54;24;97;139;291;simmobe01
445;Kobi Simmons;SG;25;CHO;5;0;28;1;6;0,115972222;1;5;00.02;0;1;0;00.25;2;2;1;1;3;4;5;0;2;1;0;5;simmoko01
446;Marko Simonovic;C;23;CHI;7;0;20;2;7;0,198611111;1;4;00.25;1;3;0,23125;0,247916667;1;2;00.05;1;1;2;0;0;0;0;5;6;simonma01
447;Anfernee Simons;SG;23;POR;62;62;2171;467;1045;0,310416667;212;562;0,261805556;255;483;0,366666667;0,380555556;160;179;0,620833333;18;143;161;253;42;14;128;142;1306;simonan01
448;Jericho Sims;C;24;NYK;52;16;812;83;107;0,538888889;0;1;0;83;106;0,54375;0,538888889;12;16;0,052083333;99;143;242;25;15;28;27;96;178;simsje01
449;Marcus Smart;PG;28;BOS;61;61;1957;250;602;0,288194444;115;342;0,233333333;135;260;0,360416667;0,354861111;88;118;0,518055556;46;145;191;382;93;23;143;172;703;smartma01
450;Dennis Smith Jr.;PG;25;CHO;54;15;1390;186;452;0,286111111;24;111;0,15;162;341;0,329861111;0,304166667;78;106;0,511111111;27;140;167;261;75;25;82;122;474;smithde03
451;Dru Smith;SG;25;BRK;15;1;158;18;45;00.04;5;19;0,182638889;13;26;00.05;0,316666667;3;3;1;2;22;24;22;10;4;3;23;44;smithdr01
452;Ish Smith;PG;34;DEN;43;0;398;52;131;0,275694444;2;12;0,115972222;50;119;00.42;0,28125;2;4;00.05;5;49;54;100;8;7;44;33;108;smithis01
453;Jabari Smith Jr.;PF;19;HOU;79;79;2451;364;892;0,283333333;120;391;0,213194444;244;501;0,338194444;0,329861111;162;206;0,545833333;122;447;569;101;43;74;104;227;1010;smithja05
454;Jalen Smith;C;22;IND;68;31;1279;242;508;0,330555556;54;191;0,196527778;188;317;0,411805556;00.53;104;137;0,527083333;129;265;394;66;21;60;72;153;642;smithja04
455;Xavier Sneed;SF;25;CHO;4;0;48;5;10;00.05;3;6;00.05;2;4;00.05;0,045138889;4;4;1;0;5;5;5;0;1;3;7;17;sneedxa01
456;Jeremy Sochan;PF;19;SAS;56;53;1458;250;552;0,314583333;33;134;0,170833333;217;418;0,360416667;0,335416667;81;116;0,484722222;95;200;295;142;43;23;97;138;614;sochaje01
457;Jaden Springer;SG;20;PHI;16;2;89;17;35;0,3375;2;5;00.04;15;30;00.05;0,356944444;6;8;0,052083333;6;8;14;8;7;3;3;15;42;sprinja01
458;Lamar Stevens;SF;25;CLE;62;25;1120;129;288;0,311111111;30;95;0,219444444;99;193;0,35625;00.05;40;57;0,4875;48;159;207;33;27;19;27;79;328;stevela01
459;Isaiah Stewart;C;21;DET;50;47;1414;195;441;0,306944444;67;205;0,227083333;128;236;0,376388889;0,359722222;110;149;0,5125;115;288;403;70;20;34;68;133;567;stewais01
460;Max Strus;SF;26;MIA;80;33;2272;324;790;00.41;197;563;00.35;127;227;0,388194444;0,371527778;78;89;0,608333333;49;209;258;171;42;12;70;166;923;strusma01
461;Jalen Suggs;SG;21;ORL;53;19;1246;186;444;0,290972222;66;202;0,227083333;120;242;0,344444444;0,342361111;86;119;0,502083333;55;106;161;155;67;27;94;120;524;suggsja01
462;Edmond Sumner;SG;27;BRK;53;12;736;124;269;0,320138889;31;87;0,247222222;93;182;0,354861111;0,360416667;99;108;0,636805556;13;66;79;68;31;10;50;83;378;sumneed01
463;Cole Swider;SF;23;LAL;7;0;41;3;9;0,23125;3;8;0,260416667;0;1;0;00.05;0;0;;1;6;7;4;0;0;0;3;9;swideco01
464;Jae'Sean Tate;SF;27;HOU;31;7;677;110;229;00.48;13;46;0,196527778;97;183;00.53;0,353472222;50;69;0,503472222;41;77;118;84;21;7;47;106;283;tateja01
465;Jayson Tatum;SF;24;BOS;74;74;2732;727;1559;0,323611111;240;686;00.35;487;873;0,3875;0,377083333;531;622;0,593055556;78;571;649;342;78;51;213;160;2225;tatumja01
466;Terry Taylor;PF;23;CHI;31;2;264;39;75;00.52;5;19;0,182638889;34;56;0,421527778;0,384027778;6;11;0,378472222;27;20;47;10;3;6;9;26;89;taylote01
467;Garrett Temple;SG;36;NOP;25;0;162;18;45;00.04;11;26;0,29375;7;19;0,255555556;0,3625;3;4;0,052083333;5;12;17;13;9;2;4;15;50;templga01
468;Dalen Terry;SG;20;CHI;38;0;214;32;72;0,308333333;7;27;0,179861111;25;45;0,386111111;0,342361111;14;21;0,463194444;12;25;37;22;11;5;8;24;85;terryda01
469;Daniel Theis;C;30;IND;7;1;109;21;44;0,33125;2;11;0,126388889;19;33;0,4;00.05;5;12;0,289583333;7;15;22;9;2;6;3;7;49;theisda01
470;Cam Thomas;SG;21;BRK;57;4;948;201;456;0,30625;51;133;0,265972222;150;323;0,322222222;0,345138889;151;174;0,602777778;8;87;95;78;20;7;63;55;604;thomaca02
471;Klay Thompson;SF;32;GSW;69;69;2279;546;1252;0,302777778;301;731;0,286111111;245;521;00.47;0,386111111;116;132;0,610416667;39;247;286;163;49;29;123;130;1509;thompkl01
472;JT Thor;PF;20;CHO;69;8;969;95;238;0,277083333;39;123;0,220138889;56;115;0,338194444;0,334027778;33;47;0,4875;36;116;152;36;22;23;44;66;262;thorjt01
473;Matisse Thybulle;SF-SG;25;POR;71;28;1200;110;253;0,302083333;54;148;0,253472222;56;105;0,370138889;0,376388889;19;28;0,471527778;40;100;140;53;83;32;24;113;293;thybuma01
474;Xavier Tillman Sr.;C;24;MEM;61;29;1180;188;306;0,426388889;4;15;0,185416667;184;291;0,438888889;0,43125;49;89;0,382638889;121;186;307;96;58;29;44;97;429;tillmxa01
475;Isaiah Todd;PF;21;WAS;6;1;61;3;19;0,109722222;1;10;00.01;2;9;0,154166667;0,127777778;2;2;1;2;10;12;4;1;0;2;4;9;toddis01
476;Obi Toppin;PF;24;NYK;67;5;1050;187;419;0,309722222;85;247;0,238888889;102;172;0,411805556;0,380555556;38;47;0,561805556;29;158;187;66;23;12;38;68;497;toppiob01
477;Juan Toscano-Anderson;SF;29;UTA;52;9;700;64;143;0,311111111;8;43;0,129166667;56;100;00.56;0,330555556;19;24;0,55;28;96;124;65;16;10;34;80;155;toscaju01
478;Karl-Anthony Towns;PF;27;MIN;29;29;957;212;428;0,34375;60;164;0,254166667;152;264;0,4;0,392361111;118;135;0,606944444;48;188;236;140;20;17;86;111;602;townska01
479;Gary Trent Jr.;SG;24;TOR;66;44;2118;405;935;0,300694444;166;450;0,25625;239;485;0,342361111;0,3625;172;205;0,582638889;30;143;173;106;104;14;55;102;1148;trentga02
480;P.J. Tucker;PF;37;PHI;75;75;1920;96;225;0,296527778;55;140;0,272916667;41;85;0,334722222;0,38125;19;23;0,573611111;95;200;295;60;39;15;44;180;266;tuckepj01
481;Myles Turner;C;26;IND;62;62;1825;402;733;0,380555556;93;249;0,259027778;309;484;0,443055556;0,425;216;276;0,54375;88;378;466;89;36;140;103;215;1113;turnemy01
482;Stanley Umude;SG;23;DET;1;0;2;0;1;0;0;1;0;0;0;;0;2;2;1;0;0;0;0;1;1;0;0;2;umudest01
483;Jonas Valan_i_nas;C;30;NOP;79;79;1968;446;816;0,379861111;38;109;0,242361111;408;707;0,400694444;00.57;185;224;0,573611111;225;579;804;140;20;52;159;245;1115;valanjo01
484;Jarred Vanderbilt;PF;23;LAL;78;65;1879;247;451;0,380555556;29;90;0,223611111;218;361;0,419444444;00.58;96;139;0,479861111;170;412;582;184;83;21;97;190;619;vandeja01
485;Fred VanVleet;PG;28;TOR;69;69;2535;437;1112;0,272916667;207;606;0,2375;230;506;0,315972222;0,3375;254;283;0,623611111;30;250;280;495;123;38;140;193;1335;vanvlfr01
486;Devin Vassell;SG;22;SAS;38;32;1178;261;595;0,304861111;103;266;0,26875;158;329;00.48;0,364583333;78;100;0,054166667;8;140;148;136;43;17;57;57;703;vassede01
487;Gabe Vincent;PG;26;MIA;68;34;1759;228;567;0,279166667;117;350;0,231944444;111;217;0,355555556;0,350694444;68;78;0,605555556;27;118;145;167;62;5;92;154;641;vincega01
488;Noah Vonleh;C;27;BOS;23;1;171;11;24;0,318055556;1;4;00.25;10;20;00.05;0,332638889;2;2;1;18;30;48;7;2;8;11;35;25;vonleno01
489;Nikola Vu_evi_;C;32;CHI;82;82;2746;597;1148;00.52;121;347;0,242361111;476;801;0,4125;0,397916667;132;158;0,579861111;159;744;903;265;60;57;139;179;1447;vucevni01
490;Dean Wade;PF;26;CLE;44;13;891;73;177;0,286111111;45;127;0,245833333;28;50;00.56;00.54;15;23;0,452777778;20;130;150;37;28;21;17;89;206;wadede01
491;Franz Wagner;SF;21;ORL;80;80;2609;542;1118;0,336805556;130;360;0,250694444;412;758;0,377777778;0,377083333;271;322;0,584722222;70;259;329;283;77;17;167;183;1485;wagnefr01
492;Moritz Wagner;C;25;ORL;57;18;1109;198;396;00.05;51;163;0,217361111;147;233;0,438194444;0,391666667;153;182;0,584027778;69;190;259;84;37;13;68;136;600;wagnemo01
493;Ish Wainright;SF;28;PHO;60;2;915;84;227;00.37;57;173;0,228472222;27;54;00.05;0,344444444;26;31;0,582638889;45;94;139;53;38;22;22;117;251;wainris01
494;Jabari Walker;SF;20;POR;56;0;619;83;198;0,290972222;16;56;0,198611111;67;142;0,327777778;00.46;34;45;0,525;48;83;131;34;10;13;29;69;216;walkeja01
495;Kemba Walker;PG;32;DAL;9;1;144;24;57;0,292361111;7;28;00.25;17;29;0,406944444;0,334722222;17;21;0,05625;3;13;16;19;2;2;4;11;72;walkeke02
496;Lonnie Walker IV;SG;24;LAL;56;32;1297;236;527;0,311111111;91;249;0,253472222;145;278;0,3625;0,370833333;91;106;0,595833333;14;95;109;64;30;17;46;71;654;walkelo01
497;John Wall;PG;32;LAC;34;3;755;138;338;0,283333333;33;109;0,210416667;105;229;0,31875;0,317361111;77;113;0,472916667;14;78;92;178;27;12;80;59;386;walljo01
498;T.J. Warren;PF-SF;29;PHO;42;0;687;132;270;0,339583333;22;67;0,227777778;110;203;0,376388889;00.53;28;35;00.08;26;95;121;40;22;12;20;65;314;warretj01
499;Duane Washington Jr.;SG;22;PHO;31;3;394;94;256;0,254861111;40;111;00.36;54;145;0,258333333;0,309027778;16;24;0,463194444;2;34;36;63;6;4;34;23;244;washidu02
500;P.J. Washington;PF;24;CHO;73;73;2380;434;978;0,308333333;149;428;0,241666667;285;550;0,359722222;00.52;127;174;0,050694444;73;285;358;175;66;79;110;193;1144;washipj01
501;TyTy Washington Jr.;PG;21;HOU;31;2;433;58;160;0,252083333;19;80;0,165277778;39;80;0,338888889;0,293055556;10;18;0,386111111;2;43;45;47;15;2;14;29;145;washity02
502;Yuta Watanabe;SF;28;BRK;58;1;928;114;232;0,340972222;60;135;0,308333333;54;97;0,386805556;0,43125;34;47;0,502083333;30;111;141;48;25;17;22;80;322;watanyu01
